Date,Year,Year,MonthName,DayOfMonth,DayOfWeekName,QuarterInCalendar.1
01-07-2017,2017,2017,July,1,Saturday,Q3
02-07-2017,2017,2017,July,2,Sunday,Q3
03-07-2017,2017,2017,July,3,Monday,Q3
04-07-2017,2017,2017,July,4,Tuesday,Q3
05-07-2017,2017,2017,July,5,Wednesday,Q3
06-07-2017,2017,2017,July,6,Thursday,Q3
07-07-2017,2017,2017,July,7,Friday,Q3
08-07-2017,2017,2017,July,8,Saturday,Q3
09-07-2017,2017,2017,July,9,Sunday,Q3
10-07-2017,2017,2017,July,10,Monday,Q3
11-07-2017,2017,2017,July,11,Tuesday,Q3
12-07-2017,2017,2017,July,12,Wednesday,Q3
13-07-2017,2017,2017,July,13,Thursday,Q3
14-07-2017,2017,2017,July,14,Friday,Q3
15-07-2017,2017,2017,July,15,Saturday,Q3
16-07-2017,2017,2017,July,16,Sunday,Q3
17-07-2017,2017,2017,July,17,Monday,Q3
18-07-2017,2017,2017,July,18,Tuesday,Q3
19-07-2017,2017,2017,July,19,Wednesday,Q3
20-07-2017,2017,2017,July,20,Thursday,Q3
21-07-2017,2017,2017,July,21,Friday,Q3
22-07-2017,2017,2017,July,22,Saturday,Q3
23-07-2017,2017,2017,July,23,Sunday,Q3
24-07-2017,2017,2017,July,24,Monday,Q3
25-07-2017,2017,2017,July,25,Tuesday,Q3
26-07-2017,2017,2017,July,26,Wednesday,Q3
27-07-2017,2017,2017,July,27,Thursday,Q3
28-07-2017,2017,2017,July,28,Friday,Q3
29-07-2017,2017,2017,July,29,Saturday,Q3
30-07-2017,2017,2017,July,30,Sunday,Q3
31-07-2017,2017,2017,July,31,Monday,Q3
01-08-2017,2017,2017,August,1,Tuesday,Q3
02-08-2017,2017,2017,August,2,Wednesday,Q3
03-08-2017,2017,2017,August,3,Thursday,Q3
04-08-2017,2017,2017,August,4,Friday,Q3
05-08-2017,2017,2017,August,5,Saturday,Q3
06-08-2017,2017,2017,August,6,Sunday,Q3
07-08-2017,2017,2017,August,7,Monday,Q3
08-08-2017,2017,2017,August,8,Tuesday,Q3
09-08-2017,2017,2017,August,9,Wednesday,Q3
10-08-2017,2017,2017,August,10,Thursday,Q3
11-08-2017,2017,2017,August,11,Friday,Q3
12-08-2017,2017,2017,August,12,Saturday,Q3
13-08-2017,2017,2017,August,13,Sunday,Q3
14-08-2017,2017,2017,August,14,Monday,Q3
15-08-2017,2017,2017,August,15,Tuesday,Q3
16-08-2017,2017,2017,August,16,Wednesday,Q3
17-08-2017,2017,2017,August,17,Thursday,Q3
18-08-2017,2017,2017,August,18,Friday,Q3
19-08-2017,2017,2017,August,19,Saturday,Q3
20-08-2017,2017,2017,August,20,Sunday,Q3
21-08-2017,2017,2017,August,21,Monday,Q3
22-08-2017,2017,2017,August,22,Tuesday,Q3
23-08-2017,2017,2017,August,23,Wednesday,Q3
24-08-2017,2017,2017,August,24,Thursday,Q3
25-08-2017,2017,2017,August,25,Friday,Q3
26-08-2017,2017,2017,August,26,Saturday,Q3
27-08-2017,2017,2017,August,27,Sunday,Q3
28-08-2017,2017,2017,August,28,Monday,Q3
29-08-2017,2017,2017,August,29,Tuesday,Q3
30-08-2017,2017,2017,August,30,Wednesday,Q3
31-08-2017,2017,2017,August,31,Thursday,Q3
01-09-2017,2017,2017,September,1,Friday,Q3
02-09-2017,2017,2017,September,2,Saturday,Q3
03-09-2017,2017,2017,September,3,Sunday,Q3
04-09-2017,2017,2017,September,4,Monday,Q3
05-09-2017,2017,2017,September,5,Tuesday,Q3
06-09-2017,2017,2017,September,6,Wednesday,Q3
07-09-2017,2017,2017,September,7,Thursday,Q3
08-09-2017,2017,2017,September,8,Friday,Q3
09-09-2017,2017,2017,September,9,Saturday,Q3
10-09-2017,2017,2017,September,10,Sunday,Q3
11-09-2017,2017,2017,September,11,Monday,Q3
12-09-2017,2017,2017,September,12,Tuesday,Q3
13-09-2017,2017,2017,September,13,Wednesday,Q3
14-09-2017,2017,2017,September,14,Thursday,Q3
15-09-2017,2017,2017,September,15,Friday,Q3
16-09-2017,2017,2017,September,16,Saturday,Q3
17-09-2017,2017,2017,September,17,Sunday,Q3
18-09-2017,2017,2017,September,18,Monday,Q3
19-09-2017,2017,2017,September,19,Tuesday,Q3
20-09-2017,2017,2017,September,20,Wednesday,Q3
21-09-2017,2017,2017,September,21,Thursday,Q3
22-09-2017,2017,2017,September,22,Friday,Q3
23-09-2017,2017,2017,September,23,Saturday,Q3
24-09-2017,2017,2017,September,24,Sunday,Q3
25-09-2017,2017,2017,September,25,Monday,Q3
26-09-2017,2017,2017,September,26,Tuesday,Q3
27-09-2017,2017,2017,September,27,Wednesday,Q3
28-09-2017,2017,2017,September,28,Thursday,Q3
29-09-2017,2017,2017,September,29,Friday,Q3
30-09-2017,2017,2017,September,30,Saturday,Q3
01-04-2017,2017,2017,April,1,Saturday,Q2
02-04-2017,2017,2017,April,2,Sunday,Q2
03-04-2017,2017,2017,April,3,Monday,Q2
04-04-2017,2017,2017,April,4,Tuesday,Q2
05-04-2017,2017,2017,April,5,Wednesday,Q2
06-04-2017,2017,2017,April,6,Thursday,Q2
07-04-2017,2017,2017,April,7,Friday,Q2
08-04-2017,2017,2017,April,8,Saturday,Q2
09-04-2017,2017,2017,April,9,Sunday,Q2
10-04-2017,2017,2017,April,10,Monday,Q2
11-04-2017,2017,2017,April,11,Tuesday,Q2
12-04-2017,2017,2017,April,12,Wednesday,Q2
13-04-2017,2017,2017,April,13,Thursday,Q2
14-04-2017,2017,2017,April,14,Friday,Q2
15-04-2017,2017,2017,April,15,Saturday,Q2
16-04-2017,2017,2017,April,16,Sunday,Q2
17-04-2017,2017,2017,April,17,Monday,Q2
18-04-2017,2017,2017,April,18,Tuesday,Q2
19-04-2017,2017,2017,April,19,Wednesday,Q2
20-04-2017,2017,2017,April,20,Thursday,Q2
21-04-2017,2017,2017,April,21,Friday,Q2
22-04-2017,2017,2017,April,22,Saturday,Q2
23-04-2017,2017,2017,April,23,Sunday,Q2
24-04-2017,2017,2017,April,24,Monday,Q2
25-04-2017,2017,2017,April,25,Tuesday,Q2
26-04-2017,2017,2017,April,26,Wednesday,Q2
27-04-2017,2017,2017,April,27,Thursday,Q2
28-04-2017,2017,2017,April,28,Friday,Q2
29-04-2017,2017,2017,April,29,Saturday,Q2
30-04-2017,2017,2017,April,30,Sunday,Q2
01-05-2017,2017,2017,May,1,Monday,Q2
02-05-2017,2017,2017,May,2,Tuesday,Q2
03-05-2017,2017,2017,May,3,Wednesday,Q2
04-05-2017,2017,2017,May,4,Thursday,Q2
05-05-2017,2017,2017,May,5,Friday,Q2
06-05-2017,2017,2017,May,6,Saturday,Q2
07-05-2017,2017,2017,May,7,Sunday,Q2
08-05-2017,2017,2017,May,8,Monday,Q2
09-05-2017,2017,2017,May,9,Tuesday,Q2
10-05-2017,2017,2017,May,10,Wednesday,Q2
11-05-2017,2017,2017,May,11,Thursday,Q2
12-05-2017,2017,2017,May,12,Friday,Q2
13-05-2017,2017,2017,May,13,Saturday,Q2
14-05-2017,2017,2017,May,14,Sunday,Q2
15-05-2017,2017,2017,May,15,Monday,Q2
16-05-2017,2017,2017,May,16,Tuesday,Q2
17-05-2017,2017,2017,May,17,Wednesday,Q2
18-05-2017,2017,2017,May,18,Thursday,Q2
19-05-2017,2017,2017,May,19,Friday,Q2
20-05-2017,2017,2017,May,20,Saturday,Q2
21-05-2017,2017,2017,May,21,Sunday,Q2
22-05-2017,2017,2017,May,22,Monday,Q2
23-05-2017,2017,2017,May,23,Tuesday,Q2
24-05-2017,2017,2017,May,24,Wednesday,Q2
25-05-2017,2017,2017,May,25,Thursday,Q2
26-05-2017,2017,2017,May,26,Friday,Q2
27-05-2017,2017,2017,May,27,Saturday,Q2
28-05-2017,2017,2017,May,28,Sunday,Q2
29-05-2017,2017,2017,May,29,Monday,Q2
30-05-2017,2017,2017,May,30,Tuesday,Q2
31-05-2017,2017,2017,May,31,Wednesday,Q2
01-06-2017,2017,2017,June,1,Thursday,Q2
02-06-2017,2017,2017,June,2,Friday,Q2
03-06-2017,2017,2017,June,3,Saturday,Q2
04-06-2017,2017,2017,June,4,Sunday,Q2
05-06-2017,2017,2017,June,5,Monday,Q2
06-06-2017,2017,2017,June,6,Tuesday,Q2
07-06-2017,2017,2017,June,7,Wednesday,Q2
08-06-2017,2017,2017,June,8,Thursday,Q2
09-06-2017,2017,2017,June,9,Friday,Q2
10-06-2017,2017,2017,June,10,Saturday,Q2
11-06-2017,2017,2017,June,11,Sunday,Q2
12-06-2017,2017,2017,June,12,Monday,Q2
13-06-2017,2017,2017,June,13,Tuesday,Q2
14-06-2017,2017,2017,June,14,Wednesday,Q2
15-06-2017,2017,2017,June,15,Thursday,Q2
16-06-2017,2017,2017,June,16,Friday,Q2
17-06-2017,2017,2017,June,17,Saturday,Q2
18-06-2017,2017,2017,June,18,Sunday,Q2
19-06-2017,2017,2017,June,19,Monday,Q2
20-06-2017,2017,2017,June,20,Tuesday,Q2
21-06-2017,2017,2017,June,21,Wednesday,Q2
22-06-2017,2017,2017,June,22,Thursday,Q2
23-06-2017,2017,2017,June,23,Friday,Q2
24-06-2017,2017,2017,June,24,Saturday,Q2
25-06-2017,2017,2017,June,25,Sunday,Q2
26-06-2017,2017,2017,June,26,Monday,Q2
27-06-2017,2017,2017,June,27,Tuesday,Q2
28-06-2017,2017,2017,June,28,Wednesday,Q2
29-06-2017,2017,2017,June,29,Thursday,Q2
30-06-2017,2017,2017,June,30,Friday,Q2
01-10-2017,2017,2017,October,1,Sunday,Q4
02-10-2017,2017,2017,October,2,Monday,Q4
03-10-2017,2017,2017,October,3,Tuesday,Q4
04-10-2017,2017,2017,October,4,Wednesday,Q4
05-10-2017,2017,2017,October,5,Thursday,Q4
06-10-2017,2017,2017,October,6,Friday,Q4
07-10-2017,2017,2017,October,7,Saturday,Q4
08-10-2017,2017,2017,October,8,Sunday,Q4
09-10-2017,2017,2017,October,9,Monday,Q4
10-10-2017,2017,2017,October,10,Tuesday,Q4
11-10-2017,2017,2017,October,11,Wednesday,Q4
12-10-2017,2017,2017,October,12,Thursday,Q4
13-10-2017,2017,2017,October,13,Friday,Q4
14-10-2017,2017,2017,October,14,Saturday,Q4
15-10-2017,2017,2017,October,15,Sunday,Q4
16-10-2017,2017,2017,October,16,Monday,Q4
17-10-2017,2017,2017,October,17,Tuesday,Q4
18-10-2017,2017,2017,October,18,Wednesday,Q4
19-10-2017,2017,2017,October,19,Thursday,Q4
20-10-2017,2017,2017,October,20,Friday,Q4
21-10-2017,2017,2017,October,21,Saturday,Q4
22-10-2017,2017,2017,October,22,Sunday,Q4
23-10-2017,2017,2017,October,23,Monday,Q4
24-10-2017,2017,2017,October,24,Tuesday,Q4
25-10-2017,2017,2017,October,25,Wednesday,Q4
26-10-2017,2017,2017,October,26,Thursday,Q4
27-10-2017,2017,2017,October,27,Friday,Q4
28-10-2017,2017,2017,October,28,Saturday,Q4
29-10-2017,2017,2017,October,29,Sunday,Q4
30-10-2017,2017,2017,October,30,Monday,Q4
31-10-2017,2017,2017,October,31,Tuesday,Q4
01-11-2017,2017,2017,November,1,Wednesday,Q4
02-11-2017,2017,2017,November,2,Thursday,Q4
